god_name,description,mythology,godly_aspects,godly_aspects2,Img URL
Aker,A god of the earth and the horizon,Egyptian,earth,boundaries,https://upload.wikimedia.org/wikipedia/commons/1/1c/Aker.svg
Amun," A creator god, god of air",Egyptian,creator,air,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Amun_post_Amarna_%28azure_skin_color%29.svg/220px-Amun_post_Amarna_%28azure_skin_color%29.svg.png
Anhur,A god of war and hunting,Egyptian,war,hunter,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Shu.svg/1200px-Shu.svg.png
Anubis,God of the dead. Carries the dead to the judgement place of the Underworld,Egyptian,death,judgement,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Anubis_standing.svg/1200px-Anubis_standing.svg.png
Atum,"A creator god and solar deity, god of pre/post existence",Egyptian,creator,existence,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Atum.svg/1200px-Atum.svg.png
Bennu,"A solar and creator deity, associated with rebirth",Egyptian,creator,rebirth,https://upload.wikimedia.org/wikipedia/commons/0/03/Bennu_bird.svg
Geb,An earth god and member of the Ennead,Egyptian,Earth god,primordial,https://upload.wikimedia.org/wikipedia/commons/5/53/Geb.svg
Hapi,Personification of the Nile flood,Egyptian,water,flooding,https://upload.wikimedia.org/wikipedia/commons/1/1e/Hapy_tying.svg
Horus,"A major god, usually shown as a falcon or as a human child, linked with the sky, the sun, kingship, protection, and healing. Often said to be the son of Osiris and Isis.",Egyptian,sky,kingship,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Horus_standing.svg/640px-Horus_standing.svg.png
Khepri,"A solar creator god, often treated as the morning form of Ra and represented by a scarab beetle",Egyptian,creator,sun,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Khepri.svg/800px-Khepri.svg.png
Khnum ," A ram god, the patron deity of Elephantine, who was said to control the Nile flood and give life to gods and humans",Egyptian,water,birth,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Khnum.svg/1200px-Khnum.svg.png
Montu,"A god of war and the sun, worshipped at Thebes",Egyptian,war,sun,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Montu.svg/220px-Montu.svg.png
Nefertum,God of the lotus blossom from which the sun god rose at the beginning of time. Son of Ptah and Sekhmet.,Egyptian,creator,primordial,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Nefertum.svg/1200px-Nefertum.svg.png
